#Table: J/A+A/584/A91/tablea2.dat (http://cdsarc.cds.unistra.fr)
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   |               |                       |       |       |     |    |    |  e|     |     |     |     |     |     |    |            |
   |               | R  R         D  D     |       |       |     | e_M|   T|_Td|   NH|     |    N|   nH|     |    n| alp|            |
Seq|Name           |Ah Am   RAs  Ed Em  DEs|     Rd|   Robs|Mcore|core|dust|ust|2peak|NH2av|H2avd|2peak|nH2av|H2avd|haBE|Coretype    |Com
---|---------------|-----------------------|-------|-------|-----|----|----|---|-----|-----|-----|-----|-----|-----|----|------------|--------------------------------------------
101|182814.7-041645|18 28 14.72 -04 16 45.2|3.8e-02|4.6e-02| 0.16|0.08|11.5|4.5|  1.5|  0.9|  1.3|  0.7|  0.4|  0.8| 4.6|starless    |no SED fit
102|182816.4-013939|18 28 16.42 -01 39 39.1|1.7e-02|2.9e-02| 0.09|0.05|11.5|4.5|  1.2|  1.3|  3.9|  0.8|  1.0|  5.0| 3.6|prestellar  |no SED fit   tentative bound
103|182816.6-041504|18 28 16.66 -04 15 04.4|4.8e-02|5.4e-02| 0.16|0.08|12.5|1.5|  2.4|  0.7|  0.8|  1.1|  0.3|  0.4| 5.8|starless    |
104|182816.9-013756|18 28 16.98 -01 37 56.2|3.8e-02|4.5e-02| 0.31|0.15|11.5|4.5|  4.0|  1.8|  2.5|  2.1|  0.9|  1.4| 2.5|prestellar  |no SED fit   tentative bound
105|182817.1-035248|18 28 17.10 -03 52 48.8|4.8e-02|5.3e-02| 0.26|0.11|10.7|1.0|  3.0|  1.1|  1.3|  1.4|  0.4|  0.6| 3.7|starless    |
106|182818.3-015302|18 28 18.34 -01 53 02.3|2.5e-02|3.8e-02| 0.11|0.05|11.5|4.5|  1.2|  0.9|  2.0|  0.7|  0.5|  1.7| 4.6|starless    |no SED fit
107|182819.7-034522|18 28 19.71 -03 45 22.8|1.8e-02|2.9e-02| 0.08|0.04|11.5|4.5|  1.0|  1.1|  2.9|  0.6|  0.8|  3.5| 4.4|prestellar  |no SED fit   tentative bound
108|182820.5-013857|18 28 20.58 -01 38 57.0|5.2e-02|5.8e-02| 2.61|0.47| 9.6|0.3| 17.5|  9.2| 11.3|  7.6|  3.5|  4.7| 0.4|prestellar  |
109|182821.6-035218|18 28 21.68 -03 52 18.4|1.8e-02|3.0e-02| 0.06|0.03|11.5|4.5|  0.9|  0.8|  2.3|  0.5|  0.6|  2.7| 5.7|starless    |no SED fit
110|182822.8-041353|18 28 22.88 -04 13 53.9|3.8e-02|4.6e-02| 1.60|0.35| 9.0|0.4| 19.5|  9.0| 12.9|  9.7|  4.3|  7.3| 0.5|prestellar  |
111|182822.9-034502|18 28 22.95 -03 45 02.6|1.9e-02|3.0e-02| 0.19|0.14|10.0|1.5|  4.7|  2.5|  6.3|  2.9|  1.8|  7.3| 2.0|prestellar  |
112|182823.2-034308|18 28 23.28 -03 43 08.7|3.0e-02|3.9e-02| 0.32|0.20|10.3|1.4|  5.6|  2.5|  4.1|  3.1|  1.4|  2.9| 1.9|prestellar  |
113|182824.1-041452|18 28 24.19 -04 14 52.1|2.6e-02|3.6e-02| 0.11|0.06|11.5|4.5|  7.6|  1.0|  1.9|  4.3|  0.6|  1.6| 4.6|starless    |no SED fit
114|182825.1-024741|18 28 25.10 -02 47 41.5|4.2e-02|4.9e-02| 0.16|0.08|11.5|4.5|  1.8|  0.8|  1.1|  0.9|  0.4|  0.6| 5.0|starless    |no SED fit
115|182825.9-015316|18 28 25.95 -01 53 16.5|5.0e-02|5.6e-02| 0.94|0.47|11.5|4.5|  9.8|  3.6|  4.5|  4.3|  1.4|  2.0| 1.0|prestellar  |no SED fit
116|182827.5-015332|18 28 27.53 -01 53 32.0|3.5e-02|4.3e-02| 0.91|0.33| 9.3|0.8|  8.1|  5.8|  8.7|  4.2|  2.9|  5.4| 0.8|prestellar  |
117|182828.5-015514|18 28 28.59 -01 55 14.4|4.1e-02|5.0e-02| 0.32|0.16|11.5|4.5|  6.7|  1.5|  2.3|  3.2|  0.7|  1.2| 2.5|prestellar  |no SED fit   tentative bound
118|182829.0-034241|18 28 29.07 -03 42 41.3|3.0e-02|3.9e-02| 0.17|0.08|11.5|4.5|  2.2|  1.3|  2.2|  1.2|  0.8|  1.7| 3.5|prestellar  |no SED fit   tentative bound
119|182830.7-034348|18 28 30.71 -03 43 48.0|1.5e-02|2.6e-02| 0.06|0.03|11.5|4.5|  0.8|  1.0|  3.2|  0.5|  0.9|  4.7| 4.9|starless    |no SED fit
