seq,name,R_deconv_pc,R_obs_pc,M_core_msun,M_core_err_msun,T_dust_K,T_dust_err_K,N_H2_peak_cm2,N_H2_av_cm2,N_H2_avd_cm2,n_H2_peak_cm3,n_H2_av_cm3,n_H2_avd_cm3,alpha_BE,core_type,no_sed_fit,tentative_bound,co_high_vlsr
496,183137.9-021821,0.011,0.024,0.46,0.13,10.7,0.6,6.9e+21,9.8e+21,4.17e+22,45000,90000,797000,0.5,prestellar,0,0,0
497,183137.9-043425,0.032,0.04,0.34,0.18,10.2,1.2,5.1e+21,2.5e+21,3.9e+21,28000,14000,27000,1.9,prestellar,0,0,0
498,183138.3-014627,0.045,0.051,0.4,0.2,11.5,4.5,3e+21,1.8e+21,2.3e+21,14000,8000,11000,2.2,prestellar,1,1,0
499,183138.3-021303,0.022,0.034,0.13,0.02,26.8,1.3,2.8e+21,1.4e+21,3.1e+21,16000,9000,30000,3.4,protostellar,0,0,0
500,183138.5-023255,0.053,0.059,0.13,0.07,14.5,4.5,1.8e+21,4e+20,6e+20,8000,2000,2000,8,starless,1,0,0
501,183138.5-022314,0.028,0.039,0.5,0.11,11.8,0.8,8.5e+21,3.9e+21,7.7e+21,46000,21000,60000,1.1,prestellar,0,0,0
502,183139.2-014804,0.054,0.059,0.37,0.18,11.5,4.5,2.5e+21,1.2e+21,1.5e+21,11000,5000,6000,2.9,prestellar,1,1,0
503,183139.2-020331,0.017,0.029,1.55,0.14,18.7,0.4,2.87e+22,2.21e+22,6.17e+22,178000,168000,783000,0.2,prestellar,0,0,0
504,183139.4-021655,0.019,0.03,1.95,0.26,12.2,0.5,3.86e+22,2.61e+22,6.5e+22,237000,193000,756000,0.2,protostellar,0,0,0
505,183139.5-022944,0.033,0.041,0.41,0.17,9.8,1,6.6e+21,2.9e+21,4.4e+21,35000,15000,29000,1.6,prestellar,0,0,0
506,183139.7-044939,0.021,0.032,0.16,0.04,11.8,0.6,2.7e+21,1.8e+21,4.2e+21,16000,12000,43000,2.6,prestellar,0,1,0
507,183140.1-014843,0.02,0.03,0.22,0.11,11.5,4.5,2.6e+21,2.8e+21,6.8e+21,15000,20000,77000,1.8,prestellar,1,0,0
508,183140.8-014427,0.043,0.051,0.41,0.21,11.5,4.5,2.6e+21,1.9e+21,2.6e+21,12000,8000,13000,2.1,prestellar,1,1,0
509,183140.9-020610,0.019,0.03,0.06,0.03,25.7,2.2,1.8e+21,8e+20,2.1e+21,11000,6000,24000,5.9,starless,0,0,0
510,183141.1-022323,0.028,0.037,0.14,0.04,18.5,1.7,2.1e+21,1.2e+21,2.1e+21,12000,7000,16000,4,prestellar,0,1,0
511,183143.3-022317,0.022,0.032,0.08,0.04,13.7,1.6,2.3e+21,9e+20,2e+21,14000,6000,20000,5.5,starless,0,0,0
512,183143.8-020440,0.017,0.028,4.17,0.69,11.4,0.6,6.53e+22,6.22e+22,1.792e+23,408000,483000,2.363e+06,0.1,prestellar,0,0,0
513,183144.4-020058,0.027,0.036,0.13,0.07,20,2.6,2.1e+22,1.2e+21,2.1e+21,119000,7000,17000,4,prestellar,0,1,0
514,183144.4-022732,0.019,0.03,0.11,0.06,11.5,4.5,1.8e+21,1.5e+21,3.9e+21,11000,11000,46000,3.2,prestellar,1,1,0
515,183145.1-020310,0.013,0.025,0.03,0.01,25.2,1.1,2.89e+22,6e+20,2.2e+21,188000,5000,38000,8.4,protostellar,0,0,0
516,183145.8-022102,0.017,0.03,0.44,0.09,12.4,0.6,1.05e+22,5.9e+21,1.76e+22,64000,44000,223000,0.8,prestellar,0,0,0
517,183145.9-015946,0.03,0.04,0.82,0.14,15.4,0.9,1.47e+22,6e+21,1.11e+22,79000,32000,82000,0.7,prestellar,0,0,0
518,183146.6-020543,0.016,0.027,0.51,0.06,18.1,0.7,1.1e+22,8.4e+21,2.49e+22,70000,69000,352000,0.6,prestellar,0,0,0
519,183147.0-020425,0.038,0.045,3.47,0.3,16.1,0.4,4.9e+22,2.05e+22,2.84e+22,249000,100000,163000,0.2,prestellar,0,0,0
520,183147.2-011627,0.082,0.086,0.95,0.47,11.5,4.5,3.2e+21,1.5e+21,1.7e+21,10000,4000,4000,1.7,prestellar,1,0,0
521,183147.2-022608,0.02,0.031,0.17,0.14,10.1,1.7,3.4e+21,2.1e+21,5e+21,21000,15000,54000,2.3,prestellar,0,1,0
522,183147.5-023004,0.018,0.03,0.27,0.17,9.7,1.3,6e+21,3.6e+21,1.01e+22,37000,27000,123000,1.3,prestellar,0,0,0
523,183147.7-013634,0.066,0.071,0.6,0.3,11.5,4.5,3.4e+21,1.4e+21,1.6e+21,13000,4000,5000,2.2,prestellar,1,1,0
524,183148.1-015841,0.018,0.029,0.03,0.02,20,3.6,6e+20,5e+20,1.2e+21,4000,3000,15000,11.1,starless,0,0,0
525,183148.3-020348,0.022,0.033,3.58,0.81,10.8,0.7,6.77e+22,3.86e+22,8.47e+22,398000,255000,829000,0.1,prestellar,0,0,0
526,183148.3-020139,0.024,0.037,4.05,2.03,14.5,4.5,7.81e+22,3.59e+22,8.38e+22,440000,215000,767000,0.1,prestellar,1,0,0
527,183148.5-020835,0.03,0.039,0.39,0.05,16.9,0.7,5.9e+21,3e+21,4.9e+21,32000,17000,36000,1.6,prestellar,0,0,0
528,183148.5-015536,0.014,0.027,0.19,0.03,14.7,0.5,5.5e+21,3.1e+21,1.2e+22,35000,26000,191000,1.4,prestellar,0,0,0
529,183149.0-022903,0.032,0.04,0.86,0.36,9,0.9,1.33e+22,6.3e+21,9.7e+21,71000,34000,66000,0.7,prestellar,0,0,0
530,183149.2-013146,0.097,0.1,0.47,0.19,14,1.8,3.3e+21,6e+20,6e+20,9000,1000,1000,4.1,starless,0,0,0
531,183149.3-022024,0.013,0.025,0.15,0.08,13.8,1.7,1.1e+22,2.9e+21,1.04e+22,71000,25000,173000,1.7,prestellar,0,0,0
532,183149.3-020038,0.022,0.034,2.05,0.62,11.5,0.7,5.36e+22,2.16e+22,4.89e+22,313000,141000,480000,0.2,prestellar,0,0,0
533,183149.4-011659,0.057,0.062,0.43,0.21,11.5,4.5,2.8e+21,1.3e+21,1.5e+21,12000,5000,6000,2.7,prestellar,1,1,0
534,183150.6-021801,0.02,0.031,0.4,0.2,14.5,4.5,1.11e+22,5.1e+21,1.23e+22,68000,37000,137000,1,prestellar,1,0,0
535,183150.6-011557,0.028,0.036,0.24,0.2,9.4,2.2,2.2e+21,2.2e+21,3.8e+21,12000,14000,30000,2.2,prestellar,0,1,0
536,183150.8-014824,0.036,0.043,0.24,0.07,13,0.9,3e+21,1.5e+21,2.2e+21,15000,8000,13000,3,prestellar,0,1,0
537,183151.0-013451,0.024,0.035,0.12,0.06,11.5,4.5,1.3e+21,1.1e+21,2.4e+21,7000,7000,22000,4,prestellar,1,1,0
538,183151.1-014917,0.026,0.038,0.04,0.02,14.5,4.5,1.4e+21,4e+20,7e+20,8000,2000,6000,12,starless,1,0,0
539,183151.3-015751,0.032,0.039,0.78,0.11,15.2,0.4,1.16e+22,6e+21,9.4e+21,63000,33000,65000,0.8,prestellar,0,0,0
540,183151.7-015330,0.027,0.04,0.26,0.05,13.6,0.7,3.8e+21,1.9e+21,4.1e+21,20000,10000,33000,2.1,prestellar,0,1,0
541,183151.9-015448,0.023,0.035,0.2,0.03,16.4,0.6,4.5e+21,1.9e+21,4.6e+21,26000,12000,44000,2.3,protostellar,0,0,0
542,183151.9-020711,0.015,0.027,0.06,0.01,26.8,2,1.5e+21,1e+21,3.5e+21,10000,8000,53000,4.6,prestellar,0,1,0
543,183152.3-020127,0.021,0.032,1.17,0.33,11.1,0.5,2.03e+22,1.4e+22,3.2e+22,122000,97000,337000,0.4,protostellar,0,0,0
544,183152.6-022938,0.014,0.027,0.72,0.15,12.6,1.1,1.16e+22,1.21e+22,4.5e+22,74000,100000,718000,0.4,protostellar,0,0,0
545,183152.7-015727,0.02,0.03,1.16,0.15,11.8,0.3,1.8e+22,1.49e+22,3.56e+22,110000,108000,397000,0.3,prestellar,0,0,0
546,183153.3-020335,0.03,0.04,0.75,0.15,15.5,0.9,1.28e+22,5.6e+21,9.8e+21,69000,31000,71000,0.8,prestellar,0,0,0
547,183153.5-021922,0.028,0.039,2.87,0.65,10.9,1.1,5.48e+22,2.22e+22,4.41e+22,298000,124000,348000,0.2,prestellar,0,0,0
548,183153.7-020111,0.024,0.033,0.84,0.18,12.9,0.7,1.82e+22,8.9e+21,1.71e+22,107000,58000,156000,0.6,prestellar,0,0,0
549,183154.2-020617,0.022,0.035,0.07,0.04,17,2.9,1.2e+21,7e+20,1.7e+21,7000,4000,17000,6.2,starless,0,0,0
550,183155.1-023006,0.058,0.062,0.62,0.31,11.5,4.5,5.4e+21,1.9e+21,2.2e+21,22000,7000,8000,1.8,prestellar,1,0,0
551,183156.0-013543,0.029,0.038,0.27,0.14,10.7,1.3,5.3e+21,2.2e+21,3.7e+21,30000,13000,28000,2.1,prestellar,0,1,0
552,183156.3-015741,0.017,0.028,0.26,0.08,12.8,1.1,4e+21,4.1e+21,1.12e+22,25000,32000,148000,1.3,prestellar,0,0,0
553,183156.3-015509,0.021,0.032,0.01,0.01,29.4,7.2,5e+20,1e+20,2e+20,3000,1000,2000,46.9,starless,0,0,0
554,183156.9-015916,0.019,0.03,0.13,0.03,14.4,1.3,3.3e+21,1.7e+21,4.3e+21,20000,13000,49000,2.8,prestellar,0,1,0
555,183157.2-015010,0.036,0.044,0.86,0.43,11.5,4.5,1.61e+22,5.2e+21,7.9e+21,82000,26000,48000,0.8,prestellar,1,0,0
556,183157.4-020025,0.015,0.027,0.66,0.1,12.9,0.4,1.3e+22,1.07e+22,3.49e+22,82000,87000,511000,0.4,prestellar,0,0,0
557,183157.5-015632,0.017,0.028,0.22,0.05,14.7,0.8,3.9e+21,3.4e+21,9.4e+21,24000,27000,125000,1.5,prestellar,0,0,0
558,183157.6-044207,0.011,0.024,0.07,0.03,11.5,4.5,1.1e+21,1.4e+21,6.1e+21,7000,13000,117000,3.3,prestellar,1,1,0
559,183158.5-023256,0.02,0.03,0.34,0.2,9.1,1.3,9.1e+21,4.4e+21,1.04e+22,55000,32000,116000,1.2,prestellar,0,0,0
560,183159.4-014406,0.059,0.063,0.86,0.43,11.5,4.5,5.6e+21,2.5e+21,3e+21,23000,9000,11000,1.4,prestellar,1,0,0
561,183159.6-014916,0.03,0.04,0.23,0.12,11.5,4.5,1.62e+22,1.7e+21,3.1e+21,87000,9000,22000,2.5,prestellar,1,1,0
562,183159.9-022016,0.033,0.042,0.66,0.39,9.6,1.5,1.78e+22,4.5e+21,7.1e+21,94000,23000,46000,1,prestellar,0,0,0
563,183159.9-023113,0.031,0.039,0.17,0.12,11.5,1.7,3e+21,1.3e+21,2.1e+21,16000,7000,15000,3.6,prestellar,0,1,0
564,183200.1-020005,0.022,0.033,0.93,0.1,12.9,0.3,1.9e+22,1.02e+22,2.37e+22,112000,68000,240000,0.5,prestellar,0,0,0
565,183200.1-015540,0.016,0.028,0.02,0.01,17.7,3.6,6e+20,3e+20,1.1e+21,4000,3000,15000,13.4,starless,0,0,0
566,183200.8-020539,0.024,0.037,0.18,0.03,17.5,0.7,2.9e+21,1.5e+21,3.6e+21,16000,9000,33000,2.7,prestellar,0,1,0
567,183200.9-043226,0.022,0.032,0.04,0.02,14.5,4.5,1.1e+21,5e+20,1.1e+21,7000,3000,11000,10.2,starless,1,0,0
568,183201.1-022043,0.011,0.023,0.02,0.01,22.2,2.8,2.4e+21,5e+20,2.1e+21,16000,5000,41000,9.6,starless,0,0,0
569,183201.2-044311,0.014,0.027,0.05,0.4,13.2,1.9,3.3e+21,9e+20,3e+21,21000,7000,45000,5.5,starless,0,0,0
570,183201.3-022942,0.021,0.033,0.04,0.04,16.4,4.8,1.5e+21,5e+20,1e+21,9000,3000,11000,10.4,starless,0,0,0
571,183201.5-042354,0.035,0.046,0.24,0.12,11.5,4.5,3.7e+21,1.3e+21,2.3e+21,19000,6000,14000,2.9,prestellar,1,1,0
572,183201.9-014324,0.028,0.037,0.41,0.06,12.2,0.4,7.6e+21,3.5e+21,6.1e+21,42000,20000,48000,1.4,prestellar,0,0,0
573,183202.5-020130,0.018,0.029,0.62,0.09,12.6,0.4,1.17e+22,8.7e+21,2.25e+22,73000,66000,273000,0.6,prestellar,0,0,0
574,183202.5-022152,0.016,0.027,0.42,0.1,11.6,0.7,8.6e+21,6.6e+21,1.87e+22,54000,53000,251000,0.8,prestellar,0,0,0
575,183202.7-023245,0.059,0.063,2.58,0.59,9.1,0.4,1.24e+22,7.6e+21,8.7e+21,50000,26000,32000,0.5,prestellar,0,0,0
576,183203.3-015459,0.056,0.061,0.26,0.13,14.5,4.5,4e+21,9e+20,1e+21,17000,3000,4000,4.2,starless,1,0,0
577,183203.6-014757,0.051,0.056,3.55,0.64,8.9,0.4,2.71e+22,1.35e+22,1.63e+22,120000,53000,70000,0.3,prestellar,0,0,0
578,183203.9-020103,0.013,0.025,0.5,0.08,11.5,0.4,1.17e+22,9.4e+21,3.34e+22,76000,82000,548000,0.5,prestellar,0,0,0
579,183204.2-020137,0.022,0.034,1.15,0.15,11.8,0.4,2.31e+22,1.2e+22,2.85e+22,135000,78000,285000,0.4,prestellar,0,0,0
580,183205.2-022111,0.014,0.026,1.47,0.18,12,0.4,3.25e+22,2.58e+22,8.58e+22,208000,218000,1.32e+06,0.2,protostellar,0,0,0
581,183205.5-015529,0.024,0.034,0.05,0.03,14.5,4.5,1.8e+21,5e+20,1e+21,10000,3000,9000,9.2,starless,1,0,0
582,183205.8-015901,0.017,0.028,0.08,0.02,15.6,1.3,3e+21,1.1e+21,3.1e+21,19000,9000,39000,4.5,prestellar,0,1,0
583,183206.9-015945,0.022,0.032,0.15,0.06,14.1,1.2,4.6e+21,1.7e+21,3.8e+21,27000,12000,39000,2.8,prestellar,0,1,0
584,183207.0-023910,0.045,0.05,0.11,0.05,15.2,2,2.4e+21,5e+20,6e+20,11000,2000,3000,8.3,starless,0,0,0
585,183208.4-020115,0.019,0.03,0.23,0.06,12.2,1,5.4e+21,3e+21,7.5e+21,33000,22000,86000,1.6,prestellar,0,0,0
586,183208.7-024211,0.033,0.041,0.77,0.12,10.9,0.4,1.25e+22,5.4e+21,8.6e+21,66000,28000,57000,0.8,prestellar,0,0,0
587,183208.8-015942,0.015,0.027,0.1,0.05,13.4,1.4,3.1e+21,1.7e+21,5.2e+21,20000,14000,74000,2.9,prestellar,0,1,0
588,183209.8-015858,0.018,0.03,0.24,0.07,12.9,0.8,7.4e+21,3.2e+21,8.8e+21,45000,23000,106000,1.5,prestellar,0,0,0
589,183210.2-022424,0.024,0.036,0.06,0.03,14,1.3,1.7e+21,6e+20,1.2e+21,10000,3000,11000,7.9,starless,0,0,0
590,183210.5-022248,0.023,0.035,0.26,0.05,14.3,0.6,4.5e+21,2.5e+21,5.6e+21,26000,16000,52000,1.8,prestellar,0,0,0
591,183210.9-020038,0.023,0.034,0.09,0.03,14.9,1.3,2.6e+21,9e+20,2e+21,15000,6000,19000,5.2,starless,0,0,0
592,183211.4-023718,0.066,0.07,0.23,0.1,14.3,2,2.5e+21,6e+20,6e+20,9000,2000,2000,5.7,starless,0,0,0
593,183212.4-015855,0.017,0.028,0.28,0.09,12.1,0.7,8.4e+21,4.3e+21,1.2e+22,53000,34000,158000,1.2,prestellar,0,0,0
594,183212.9-015928,0.013,0.027,0.34,0.07,12.7,0.6,1.16e+22,5.7e+21,2.31e+22,74000,47000,382000,0.8,prestellar,0,0,0
595,183213.6-015730,0.011,0.023,0.11,0.01,18.9,0.6,4.5e+21,2.5e+21,1.01e+22,30000,24000,193000,2,protostellar,0,0,0
596,183214.1-020837,0.037,0.047,0.28,0.14,14.5,4.5,5.6e+21,1.5e+21,2.5e+21,28000,7000,15000,2.6,prestellar,1,1,0
597,183215.1-015725,0.026,0.035,0.92,0.12,12.4,0.4,1.89e+22,8.8e+21,1.66e+22,108000,55000,142000,0.6,prestellar,0,0,0
598,183215.3-020947,0.053,0.058,0.69,0.35,14.5,4.5,8.8e+21,2.4e+21,2.9e+21,38000,9000,12000,1.5,prestellar,1,0,0
599,183216.1-023449,0.017,0.029,1.27,0.18,12.1,0.6,2.47e+22,1.74e+22,5.3e+22,152000,130000,689000,0.3,protostellar,0,0,0
600,183216.1-024530,0.023,0.036,0.13,0.04,12,0.7,2.9e+21,1.2e+21,3e+21,17000,8000,28000,3.4,prestellar,0,1,0
601,183216.7-021205,0.021,0.033,0.09,0.05,13.2,1.4,2.3e+21,1e+21,2.5e+21,14000,7000,26000,4.4,starless,0,0,0
602,183217.4-015323,0.022,0.034,0.16,0.04,12.1,0.6,3.7e+21,1.7e+21,4.2e+21,22000,11000,43000,2.6,prestellar,0,1,0
603,183217.5-023149,0.026,0.036,0.09,0.07,12.3,2.3,2.9e+21,8e+20,1.5e+21,16000,5000,12000,6.1,starless,0,0,0
604,183218.1-015645,0.014,0.025,0.36,0.18,11.5,4.5,9.5e+21,6.6e+21,2.27e+22,61000,57000,361000,0.8,prestellar,1,0,0
605,183218.4-024142,0.052,0.057,1.06,0.38,9.8,0.9,1.02e+22,3.9e+21,4.7e+21,45000,15000,20000,1,prestellar,0,0,0
606,183219.4-015723,0.02,0.031,0.14,0.08,11.9,1.2,3.4e+21,1.7e+21,4e+21,20000,12000,43000,2.8,prestellar,0,1,0
607,183219.7-015815,0.019,0.03,0.01,0.01,19.2,4.4,4e+20,1e+20,2e+20,2000,1000,2000,57.1,starless,0,0,0
608,183220.0-023216,0.059,0.064,0.29,0.13,13.8,1.7,2.6e+21,9e+20,1e+21,11000,3000,4000,4,starless,0,0,0
609,183221.6-015552,0.011,0.024,0.19,0.07,11.6,0.6,1.01e+22,4e+21,1.74e+22,67000,37000,333000,1.2,prestellar,0,0,0
610,183221.8-015752,0.019,0.03,0.02,0.01,16.8,1.9,1.1e+21,3e+20,7e+20,7000,2000,8000,17.8,starless,0,0,0
611,183222.0-015627,0.034,0.042,0.64,0.11,12.1,0.5,1.48e+22,4.3e+21,6.4e+21,78000,23000,41000,1.1,prestellar,0,0,0
612,183222.6-020047,0.024,0.035,0.03,0.01,14.5,4.5,1.1e+21,3e+20,6e+20,7000,2000,5000,16,starless,1,0,0
613,183222.9-021546,0.044,0.05,0.22,0.05,17.6,1.1,2.3e+21,1.1e+21,1.4e+21,11000,5000,7000,3.9,starless,0,0,0
614,183222.9-020529,0.041,0.048,0.17,0.09,14.5,4.5,2.5e+21,9e+20,1.2e+21,12000,4000,6000,4.7,starless,1,0,0
615,183223.0-022945,0.031,0.04,0.08,0.04,14.5,4.5,1.6e+21,6e+20,1e+21,9000,3000,7000,7.4,starless,1,0,0
616,183223.2-015458,0.018,0.029,0.27,0.06,13.2,0.5,1.19e+22,3.7e+21,9.7e+21,73000,28000,117000,1.3,prestellar,0,0,0
617,183223.9-015334,0.011,0.023,0.21,0.05,12.1,0.5,9.8e+21,4.8e+21,1.91e+22,65000,46000,365000,1.1,prestellar,0,0,0
618,183224.1-021357,0.035,0.042,1.29,0.61,8.2,0.8,1.49e+22,8.6e+21,1.24e+22,78000,45000,77000,0.5,prestellar,0,0,0
619,183224.3-012503,0.11,0.11,1.82,0.91,11.5,4.5,3.9e+21,1.8e+21,1.9e+21,10000,4000,4000,1.2,prestellar,1,0,0
620,183225.9-015403,0.021,0.032,0.29,0.19,11.4,0.7,8.4e+21,3.3e+21,7.6e+21,50000,22000,79000,1.4,prestellar,0,0,0
621,183225.9-020720,0.042,0.048,0.16,0.08,14.5,4.5,2.7e+21,8e+20,1.1e+21,13000,4000,6000,5.3,starless,1,0,0
622,183226.1-023754,0.074,0.078,0.65,0.33,11.5,4.5,2.9e+21,1.3e+21,1.4e+21,10000,4000,4000,2.2,prestellar,1,1,0
623,183226.3-023857,0.035,0.042,0.36,0.14,10.1,1,7.1e+21,2.4e+21,3.4e+21,37000,12000,21000,1.9,prestellar,0,0,0
624,183226.6-012718,0.029,0.041,0.23,0.12,11.5,4.5,2e+21,1.6e+21,3.3e+21,11000,9000,25000,2.5,prestellar,1,1,0
625,183226.8-021229,0.056,0.061,3.18,0.93,8.9,0.6,2.77e+22,1.03e+22,1.22e+22,117000,37000,48000,0.3,prestellar,0,0,0
626,183226.9-035047,0.055,0.06,0.15,0.08,11.5,4.5,1.6e+21,5e+20,6e+20,7000,2000,2000,7.1,starless,1,0,0
627,183227.4-022741,0.041,0.047,1.36,0.29,9.3,0.4,1.96e+22,7.2e+21,9.6e+21,97000,33000,51000,0.6,prestellar,0,0,0
628,183228.1-015520,0.013,0.025,0.02,0.01,16.8,3.1,4e+20,3e+20,1.2e+21,3000,3000,20000,14,starless,0,0,0
629,183228.6-015457,0.021,0.033,0.05,0.02,14.3,2.1,1.3e+21,5e+20,1.3e+21,8000,4000,13000,8.8,starless,0,0,0
630,183228.8-015000,0.03,0.038,0.04,0.03,17.8,4.9,1.4e+21,3e+20,5e+20,8000,2000,4000,15.4,starless,0,0,0
631,183228.8-015221,0.012,0.025,0.75,0.08,13,0.7,1.28e+22,1.46e+22,5.85e+22,84000,130000,1.043e+06,0.3,protostellar,0,0,0
632,183228.9-015811,0.017,0.029,0.03,0.02,14.5,4.5,1e+21,5e+20,1.3e+21,6000,3000,17000,10.3,starless,1,0,0
633,183229.0-015242,0.019,0.031,3.18,0.24,9.8,0.2,5.72e+22,3.89e+22,1.04e+23,345000,274000,1.197e+06,0.1,prestellar,0,0,0
634,183229.5-021128,0.047,0.052,0.83,0.19,11.2,0.7,9.5e+21,3.6e+21,4.5e+21,44000,15000,21000,1.1,prestellar,0,0,0
635,183229.9-014901,0.021,0.032,0.09,0.03,13.9,1,1.7e+21,1e+21,2.3e+21,10000,7000,24000,4.8,starless,0,0,0
636,183230.1-012526,0.034,0.041,0.18,0.09,11.5,4.5,2.3e+21,1.3e+21,1.8e+21,12000,7000,12000,3.7,prestellar,1,1,0
637,183234.0-015134,0.02,0.031,0.46,0.29,8.6,1,1.04e+22,5.7e+21,1.35e+22,63000,40000,148000,0.9,prestellar,0,0,0
638,183234.3-012544,0.033,0.041,0.11,0.06,11.5,4.5,1.7e+21,8e+20,1.2e+21,9000,4000,8000,5.9,starless,1,0,0
639,183235.1-015013,0.032,0.041,0.42,0.13,10.2,0.5,6.6e+21,3.1e+21,4.8e+21,35000,17000,33000,1.5,prestellar,0,0,0
640,183236.0-014916,0.028,0.037,0.56,0.3,8.6,0.9,1.12e+22,5e+21,8.7e+21,63000,30000,69000,1,prestellar,0,0,0
641,183236.3-014841,0.017,0.029,0.79,0.41,8,0.8,1.53e+22,1.14e+22,3.34e+22,95000,87000,437000,0.4,prestellar,0,0,0
642,183237.8-023718,0.054,0.059,0.34,0.13,10.7,0.9,3.5e+21,1.2e+21,1.4e+21,15000,4000,6000,3.1,prestellar,0,1,0
643,183238.5-025028,0.044,0.05,0.38,0.07,13.3,0.8,6e+21,1.8e+21,2.4e+21,28000,8000,12000,2.3,prestellar,0,1,0
644,183238.5-022853,0.047,0.052,0.45,0.09,12.9,0.6,3e+21,2e+21,2.4e+21,14000,8000,11000,2,prestellar,0,1,0
645,183238.6-015033,0.018,0.03,0.18,0.1,11.1,1.5,5.1e+21,2.4e+21,6.6e+21,31000,18000,80000,2,prestellar,0,0,0
646,183238.6-015145,0.014,0.025,0.03,0.02,11.5,4.5,7e+20,6e+20,2.2e+21,4000,5000,35000,7.8,starless,1,0,0
647,183239.1-014702,0.02,0.033,0.15,0.04,12.7,0.6,3.1e+21,1.7e+21,4.4e+21,18000,11000,47000,2.6,prestellar,0,1,0
648,183239.4-015400,0.011,0.024,0.06,0.05,12.8,2.6,3e+21,1.3e+21,5.8e+21,19000,12000,110000,3.5,prestellar,0,1,0
649,183239.9-015332,0.032,0.039,0.07,0.05,15.9,3.5,2.5e+21,5e+20,8e+20,13000,3000,5000,9.5,starless,0,0,0
650,183241.6-014655,0.025,0.034,0.13,0.03,13,0.7,2.8e+21,1.3e+21,2.6e+21,16000,8000,23000,3.7,prestellar,0,1,0
651,183242.2-012543,0.044,0.053,0.25,0.11,14.1,1.8,2e+21,1.1e+21,1.5e+21,9000,4000,8000,3.5,prestellar,0,1,0
652,183242.7-024754,0.017,0.028,0.47,0.23,11.5,4.5,6.8e+21,6.9e+21,2.02e+22,42000,54000,267000,0.7,protostellar,1,0,0
653,183243.0-014925,0.051,0.056,0.33,0.17,11.5,4.5,3e+21,1.2e+21,1.5e+21,13000,5000,7000,3,prestellar,1,1,0
654,183243.0-025035,0.037,0.044,0.2,0.1,11.5,4.5,2.6e+21,1.2e+21,1.8e+21,13000,6000,11000,3.6,prestellar,1,1,0
655,183243.2-015344,0.036,0.043,1.11,0.2,9.7,0.4,1.16e+22,7.1e+21,1.05e+22,60000,36000,64000,0.6,prestellar,0,0,0
656,183246.8-025337,0.018,0.03,0.07,0.04,11.5,4.5,9e+20,9e+20,2.5e+21,6000,7000,31000,5.1,starless,1,0,0
657,183247.6-015150,0.018,0.029,1.57,0.19,9.6,0.2,2.93e+22,2.25e+22,5.8e+22,182000,171000,708000,0.2,prestellar,0,0,0
658,183248.0-023941,0.015,0.027,0.06,0.02,13.5,1.3,1.1e+21,1e+21,3.1e+21,7000,8000,45000,5,protostellar,0,0,0
659,183248.4-022914,0.022,0.034,0.04,0.02,14.5,4.5,1.1e+21,4e+20,1e+21,6000,3000,10000,10.2,starless,1,0,0
660,183249.5-025151,0.027,0.036,0.13,0.09,10.4,2.1,3.7e+21,1.3e+21,2.3e+21,21000,8000,19000,3.9,prestellar,0,1,0
661,183250.7-025356,0.04,0.046,0.32,0.08,12.7,0.8,6.7e+21,1.8e+21,2.4e+21,33000,8000,13000,2.5,prestellar,0,1,0
662,183251.3-024708,0.034,0.046,0.41,0.2,11.5,4.5,4.3e+21,2.3e+21,4.1e+21,21000,11000,27000,1.7,prestellar,1,0,0
663,183251.5-023317,0.054,0.059,0.66,0.16,12,0.8,6.8e+21,2.3e+21,2.7e+21,29000,9000,11000,1.6,prestellar,0,0,0
664,183253.0-032531,0.02,0.032,0.2,0.14,9.2,1.3,2.4e+21,2.3e+21,6.2e+21,14000,16000,69000,1.9,prestellar,0,0,0
665,183253.2-023013,0.05,0.056,0.12,0.06,14.5,4.5,1.9e+21,5e+20,5e+20,9000,2000,2000,8.5,starless,1,0,0
666,183253.2-015101,0.026,0.037,0.15,0.1,12.4,2.2,3.4e+21,1.3e+21,2.7e+21,19000,8000,23000,3.3,prestellar,0,1,0
667,183253.4-025012,0.046,0.055,0.44,0.22,11.5,4.5,6.2e+21,1.7e+21,2.5e+21,28000,7000,12000,2,prestellar,1,1,0
668,183254.4-014903,0.03,0.038,0.45,0.1,11.6,0.7,1.15e+22,3.6e+21,5.8e+21,63000,21000,42000,1.3,prestellar,0,0,0
669,183254.6-014736,0.037,0.046,0.26,0.13,10.3,1.2,5.2e+21,1.5e+21,2.3e+21,26000,7000,13000,2.8,prestellar,0,1,0
670,183255.5-014615,0.023,0.035,0.13,0.04,11.7,0.7,2.3e+21,1.3e+21,3e+21,13000,8000,28000,3.4,prestellar,0,1,0
671,183255.9-025450,0.033,0.044,0.19,0.1,11.2,1.5,3.9e+21,1.2e+21,2.1e+21,20000,6000,14000,3.4,prestellar,0,1,0
672,183256.0-024400,0.043,0.049,0.89,0.17,10.8,0.4,1.51e+22,4.4e+21,5.7e+21,73000,20000,29000,1,prestellar,0,0,0
673,183257.3-025315,0.021,0.032,0.1,0.08,10.8,1.9,1.6e+21,1.2e+21,2.8e+21,9000,8000,29000,4.1,prestellar,0,1,0
674,183257.3-015024,0.028,0.04,0.1,0.06,12.9,2.2,1.7e+21,7e+20,1.5e+21,9000,4000,12000,5.6,starless,0,0,0
